author,description,name,state
 谋生任转蓬,介绍:    陆州一觉醒来成了世间最强大最老的魔头祖师爷，还有九个恶贯满盈，威震天下的徒弟。大徒弟幽冥教教主手下万千魔众，二徒弟剑魔一言不合就开杀戒……没了一身修为，如何调教这帮恶徒？大徒弟于正海：“老夫这一生所向披靡，除了师父他老人家，谁也别想骑我头上。”七徒弟司无涯：“师父不死，我等寝食难安啊！”……九徒弟鸢儿：“我一定会谨记师父的话，做个好人。”书友群：586414482欢迎来,我的徒弟都是大反派,连载
 清风拂烟,介绍:    未来，虚拟世界覆盖全球，在虚拟世界中，主播们和UP主们都有自己的店铺，在店铺中进行着自己的直播和视频，而虚拟世界最核心的游戏便是斗技场，这里你可以使用各种动漫、小说、游戏、电影里面的角色……萧炎大战辉夜姬、无极剑圣和黑崎一护拼刀、奥特曼和欧尔麦特对拳、柯南在野外森林中奔跑……,动漫游戏斗技场,连载
 蜕茧,介绍:    修行路没有尽头？可有前辈说这条路一共十万九千里，但从没有人走完这十万九千里的修行路。很多修行者一辈子都只走出了第一里，甚至是第一步。暮落决心要走完这十万九千里，不止要走完，更要走出去。,十万九千里,连载
 厌笔萧生,介绍:    支持作者厌笔萧生，请您分享作品帝霸,帝霸,连载
 非语逐魂,介绍:    当主角醒来，发现穿越成少年时的慕容复，而且身处十四部金书融合的大武侠世界里，他该何去何从，兴复大燕？争霸天下？又或是勾搭几个美女逍遥一生呢？本书书友群（扣扣群）：,武侠世界的慕容复,连载
 明星打侦探,介绍:    一觉醒来，成为了乾坤大陆最大的帝国华夏王朝中最大家族龙家的纨绔三公子，金手指忽然降临，每周一次的抽奖。恭喜你抽到了李寻欢，你将得到他的特殊能力——雕刻大师。wtf？不是应该是小李飞刀吗？雕刻大师是什么鬼？…………,特殊能力抽奖系统,连载
 布丁银狐,介绍:    前世她一出生就被抛弃．被虐待．长大后又信错了人．连累小伙伴儿被凌辱．被砍掉四肢．最后她们只好抱团儿跳崖．结束了悲惨的一生．在桃花盛开的地方醒来．她已经不是前世的她．这一世．她开天眼．觉醒异能．契约了神兽当灵宠．觉醒神秘的医术．她注定不再平凡只是这个邻居美男．前世没见到你在我面前蹦啊：＂咦？姐跟你前世没有过交集！＂美,重生异能灵妻墨少轻轻宠,连载
 冷羽无情,介绍:    无名的精魄，神秘的商店，开启一段不世的传奇。星武大陆实力为尊，且看秦宇如何以废柴之躯，凭借努力和奇遇，一步步踏上世界之巅，统御天地万物,残魄御天,连载
 暮色北冥,介绍:    来到了类似中世纪的时代，带着骑砍系统穿越成为一名小贵族，真的要跟这些人高马大的壮汉一起骑马与砍杀吗？诺德心里不这么想，还是先猥琐发育吧。稳住！我们能赢！,骑砍小领主,连载
 午日阳光,介绍:    魂元大陆，一个以觉醒魂灯修炼魂力为尊、为贵的大陆。在这个大陆上有一个关于九重天的传说，一代代人前赴后继的追寻着这个传说。乌家有女名千雪，世人皆言，命极好！父亲是魂元大陆长帝国第一魂力强者，母亲是魂元大陆圣山学院院长之女，除了父母的宠爱还有两个护妹如狂的天才哥哥。可是这样一位娇娇女，长帝国愣是没人见过。传言乌家女美如,魂逆九天之天命神女,连载
