author,description,name,state
 台式电脑,介绍:    我是体修，专修肉身，江湖人称“推土机”！我曾横推了一个时代，建立了无上辉煌的家族。以力破万法其实就是在说我！我坐化后，肉身历经千年而不灭，却被一群不孝子孙从棺材里扒了出来，用我的肉身来挡灾、灭敌……“老祖宗在上，赤鲸帮杀上门来了，长老们挡不住了，借您老遗体一用！”“老祖宗原谅，天剑宗又杀来了，族长都被打的吐血了，得借你老遗体挡一挡！”直到有一天……“每次都把老祖宗的,老祖宗在天有灵,连载
 福来嘻嘻,介绍:    前世惨遭背叛，好不容易重生，竟然还重生为没有灵根的废物？逗我玩？,重生之狂宠倾城魔妃,连载
 火星引力,介绍:    掌天毒之珠，承邪神之血，修逆天之力，一代邪神，君临天下！【添加微信公众号：火星引力】【我们的YY频道：49554】,逆天邪神,连载
 碧蓝的世界,介绍:    陈牧家庭幸福，有车有房，马上要结婚了。没想到，有一天出了车祸，穿越了。在这个类似古代的世界，没有手机、电脑，没有网络……这里的人杀伐果决，动不动就杀人……“我是真的不想穿越。”从此，陈牧为了找到回家的路，努力修练。直到有一天，他遇到了一些人，画风就开始偏了。,我是真不想穿越,连载
 余云飞,介绍:    玩家——传说中的第四天灾。没有人可以预料到，当一个被迫身负魔王命运的穿越者带着一群沙雕玩家，会在《血腥竞技场》这个特殊世界里干出什么。当王强酷酷滴朝着敌人一伸指头……“万岁冲锋！”“德玛西亚！”“为了联盟！”“为了部落！”“等等！先干掉万岁冲锋的，揍完喊德玛西亚的，我们兄弟再决一胜负！”“好！”王强：我,玩家请自重,连载
 谋生任转蓬,介绍:    陆州一觉醒来成了世间最强大最老的魔头祖师爷，还有九个恶贯满盈，威震天下的徒弟。大徒弟幽冥教教主手下万千魔众，二徒弟剑魔一言不合就开杀戒……没了一身修为，如何调教这帮恶徒？大徒弟于正海：“老夫这一生所向披靡，除了师父他老人家，谁也别想骑我头上。”七徒弟司无涯：“师父不死，我等寝食难安啊！”……九徒弟鸢儿：“我一定会谨记师父的话，做个好人。”书友群：586414482欢迎来,我的徒弟都是大反派,连载
 郑重骑士,介绍:    高考结束后，郑清没有去心仪已久的帝都大学，而是背着行李，抱着狐狸，循着一纸通知，闯进一座陌生的高校。,猎妖高校,连载
 空神,介绍:    《修罗丹神》是空神精心创作的玄幻魔法，abc小说网实时更新修罗丹神最新章节并且提供无弹窗阅读，书友所发表的修罗丹神评论，并不代表abc小说网赞同或者支持修罗丹神读者的观点。,修罗丹神,连载
 剪水II,介绍:    ——无敌热血，轻松种田——　　我曾有个被称为“千古一帝”的弟子，梳理山河，鼎镇九州，结果被儿子杀了；　　我曾有个被称为“医祖”的弟子，尝尽万草，试尽丹方，结果被毒死了；　　我还有个被称为“第一兵主”的弟子，结果被对手杀了；　　当老师太难，下一世，我还是去做别人的弟子吧。　　……　　“大师兄，不好啦，师父又被妖鬼抓走啦！”　　——什么？师父不是该白发人送黑发人么？哪路的妖鬼？害，出来挨打！　　“,我家的无敌大师兄,连载
 唐家三少,介绍:    伴随着魂导科技的进步，斗罗大陆上的人类征服了海洋，又发现了两片大陆。魂兽也随着人类魂师的猎杀无度走向灭亡，沉睡无数年的魂兽之王在星斗大森林最后的净土苏醒，它要带领仅存的族人，向人类复仇！,斗罗大陆III龙王传说,连载
 清风拂烟,介绍:    未来，虚拟世界覆盖全球，在虚拟世界中，主播们和UP主们都有自己的店铺，在店铺中进行着自己的直播和视频，而虚拟世界最核心的游戏便是斗技场，这里你可以使用各种动漫、小说、游戏、电影里面的角色……萧炎大战辉夜姬、无极剑圣和黑崎一护拼刀、奥特曼和欧尔麦特对拳、柯南在野外森林中奔跑……,动漫游戏斗技场,连载
